dataset,prior_weight,coordinate,median_spearman,min_pair_spearman
nasa_battery_capacity_reviewer_clean_inner0,0.0,capacity_cycle1,0.6547619047619049,0.261904761904762
nasa_battery_capacity_reviewer_clean_inner0,0.0,early_fade_rate,0.6904761904761905,0.5714285714285715
nasa_battery_capacity_reviewer_clean_inner0,0.001,capacity_cycle1,0.6904761904761906,0.4047619047619048
nasa_battery_capacity_reviewer_clean_inner0,0.001,early_fade_rate,0.8095238095238096,0.6428571428571429
nasa_battery_capacity_reviewer_clean_inner0,0.01,capacity_cycle1,0.7142857142857144,0.38095238095238104
nasa_battery_capacity_reviewer_clean_inner0,0.01,early_fade_rate,0.6785714285714287,0.4761904761904762
nasa_battery_capacity_reviewer_clean_inner0,0.1,capacity_cycle1,0.6666666666666667,0.3333333333333334
nasa_battery_capacity_reviewer_clean_inner0,0.1,early_fade_rate,0.6666666666666667,0.2142857142857143
nasa_battery_capacity_reviewer_clean_inner0,1.0,capacity_cycle1,-0.023809523809523822,-0.3333333333333334
nasa_battery_capacity_reviewer_clean_inner0,1.0,early_fade_rate,0.28571428571428575,-0.6666666666666669
nasa_battery_capacity_reviewer_clean_inner1,0.0,capacity_cycle1,0.5595238095238095,0.2142857142857143
nasa_battery_capacity_reviewer_clean_inner1,0.0,early_fade_rate,-0.023809523809523815,-0.7619047619047621
nasa_battery_capacity_reviewer_clean_inner1,0.001,capacity_cycle1,0.4404761904761905,0.0
nasa_battery_capacity_reviewer_clean_inner1,0.001,early_fade_rate,-0.07142857142857144,-0.6190476190476191
nasa_battery_capacity_reviewer_clean_inner1,0.01,capacity_cycle1,0.5476190476190477,0.2380952380952381
nasa_battery_capacity_reviewer_clean_inner1,0.01,early_fade_rate,0.10714285714285718,-0.3571428571428572
nasa_battery_capacity_reviewer_clean_inner1,0.1,capacity_cycle1,0.3928571428571429,0.09523809523809526
nasa_battery_capacity_reviewer_clean_inner1,0.1,early_fade_rate,-0.07142857142857145,-0.5000000000000001
nasa_battery_capacity_reviewer_clean_inner1,1.0,capacity_cycle1,0.642857142857143,0.04761904761904763
nasa_battery_capacity_reviewer_clean_inner1,1.0,early_fade_rate,0.04761904761904763,-0.6904761904761906
nasa_battery_capacity_reviewer_clean_inner2,0.0,capacity_cycle1,0.6309523809523812,0.261904761904762
nasa_battery_capacity_reviewer_clean_inner2,0.0,early_fade_rate,0.773809523809524,0.5000000000000001
nasa_battery_capacity_reviewer_clean_inner2,0.001,capacity_cycle1,0.5952380952380953,0.19047619047619052
nasa_battery_capacity_reviewer_clean_inner2,0.001,early_fade_rate,0.7380952380952382,0.38095238095238104
nasa_battery_capacity_reviewer_clean_inner2,0.01,capacity_cycle1,0.6904761904761907,0.4285714285714286
nasa_battery_capacity_reviewer_clean_inner2,0.01,early_fade_rate,0.5714285714285715,0.11904761904761905
nasa_battery_capacity_reviewer_clean_inner2,0.1,capacity_cycle1,0.5952380952380953,0.2380952380952381
nasa_battery_capacity_reviewer_clean_inner2,0.1,early_fade_rate,0.28571428571428575,-0.14285714285714288
nasa_battery_capacity_reviewer_clean_inner2,1.0,capacity_cycle1,0.3928571428571429,-0.19047619047619052
nasa_battery_capacity_reviewer_clean_inner2,1.0,early_fade_rate,0.03571428571428572,-0.4761904761904762
